Model,MSE,RMSE,R²
linear_regression_multivariate,0.0004942694003319516,0.022232170391843248,0.05471762141427894
ridge_regression,0.0004942838857791059,0.022232496166177694,0.054689918226641376
lasso_regression,0.0005009936268531415,0.022382886919545063,0.04185764498071731
polynomial_regression,0.00048757157322902963,0.02208102292080305,0.06752710937965545
